Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
07/10/2021,50,0,7,7,12,17,8,2,1,3,0,0,24,26,0,9,2,12,19,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,2,0,0,5,2,0,2,0,3,1,0,1
11/05/2021,468,1,23,113,99,98,68,46,22,12,10,0,234,229,5,59,8,107,157,30,107,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,3,2,2,6,6,3,1,0,13,10,0,3,0,9,9,0,2
11/14/2020,1400,16,104,168,321,277,239,172,126,76,21,0,713,686,1,441,56,246,421,58,178,0,0,0,2,1,5,6,2,0,7,9,0,6,0,7,3,0,0,3,4,6,14,20,17,28,12,0,48,56,0,34,2,34,27,6,1
07/05/2020,89,3,16,6,29,19,14,11,8,2,0,0,53,35,1,27,0,24,23,7,8,0,0,0,1,1,1,0,0,0,0,3,0,1,0,1,1,0,0,0,2,1,4,3,2,1,3,0,5,11,0,6,1,6,3,0,0
06/19/2021,30,2,5,6,11,5,1,2,1,4,0,0,18,12,0,11,2,6,8,1,2,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,3,0,0,0,0,1,1,0,4,1,0,4,1,0,0,0,0
10/04/2021,433,3,23,107,84,80,53,48,33,23,5,0,214,217,2,76,16,116,132,29,64,0,0,0,0,0,2,1,0,0,1,2,0,1,0,0,2,0,0,0,3,5,3,4,3,2,3,0,14,9,0,6,0,8,5,4,0
06/12/2021,46,5,9,5,13,13,3,7,1,2,2,0,18,28,0,10,1,14,12,1,8,0,0,0,0,1,1,2,1,0,5,0,0,2,1,0,2,0,0,0,0,2,3,1,0,1,2,0,4,5,0,4,0,4,1,0,0
10/22/2021,302,5,16,64,51,79,34,37,21,10,6,0,152,148,2,55,10,55,84,35,63,0,0,0,0,2,0,2,1,0,3,2,0,2,0,1,2,0,0,1,1,4,0,4,2,3,1,0,9,7,0,3,0,7,2,3,1
03/26/2020,413,2,132,2,65,74,78,96,53,36,9,0,181,232,0,82,14,201,98,10,8,0,0,0,0,0,0,1,1,0,0,2,0,0,1,1,0,0,0,0,7,11,23,25,26,28,12,0,57,75,0,27,1,81,19,4,0
03/24/2020,350,2,119,1,59,67,58,56,61,34,14,0,158,192,0,64,15,157,86,10,18,0,0,0,0,0,2,0,0,0,0,2,0,1,0,1,0,0,0,1,3,10,14,29,27,21,14,0,48,71,0,22,0,75,17,5,0
01/15/2021,1023,11,53,127,264,196,174,114,79,47,22,0,525,488,10,310,49,217,291,59,97,0,0,0,1,2,2,2,4,0,5,6,0,2,1,5,3,0,0,1,3,5,6,7,14,11,6,0,32,21,0,18,0,20,14,1,0
04/27/2021,565,5,56,101,143,113,79,63,41,14,11,0,288,276,1,154,16,236,87,22,50,0,0,0,1,1,1,1,1,0,2,3,0,2,0,3,0,0,0,1,4,8,6,13,12,5,7,0,32,24,0,8,1,37,8,2,0
09/05/2021,315,4,31,76,67,60,44,43,15,4,6,0,168,147,0,71,14,82,90,19,39,0,0,0,0,1,1,1,1,0,2,2,0,0,0,2,2,0,0,1,3,3,4,10,5,3,2,0,17,14,0,6,1,16,6,2,0
10/20/2021,323,5,12,70,85,52,41,32,28,11,4,0,143,178,2,60,15,67,94,29,58,0,0,0,1,2,0,1,1,0,1,4,0,2,0,2,1,0,0,0,0,1,0,2,4,2,3,0,7,5,0,2,0,7,1,1,1
03/17/2020,96,1,24,0,15,21,18,17,19,2,4,0,37,59,0,8,3,39,41,3,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,1,2,5,7,3,3,0,7,17,0,4,0,16,4,0,0
07/18/2021,92,0,6,12,27,20,12,8,7,4,2,0,51,41,0,16,2,23,31,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,1,0,4,2,0,1,0,4,0,0,1
08/28/2021,361,3,28,79,92,63,51,32,25,11,8,0,186,173,2,78,10,113,85,11,64,0,0,0,0,0,1,0,2,0,1,2,0,0,0,1,2,0,0,1,3,3,3,5,6,4,3,0,14,14,0,5,0,16,7,0,0
04/14/2020,666,33,166,16,102,121,122,126,78,51,50,0,356,310,0,262,27,216,103,23,35,0,1,2,1,3,5,9,12,0,11,22,0,8,2,13,10,0,0,3,7,13,19,37,30,29,28,0,71,95,0,58,3,70,27,7,1
08/05/2021,478,2,33,76,148,130,56,34,21,8,5,0,232,243,3,90,16,107,159,20,86,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,1,0,0,1,3,7,2,5,7,3,5,0,17,16,0,4,2,19,5,1,2
08/07/2021,318,2,28,46,79,81,42,35,21,10,4,0,162,154,2,74,20,73,99,14,38,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,3,2,6,4,4,2,6,0,15,13,0,5,0,13,10,0,0
10/26/2021,337,3,17,90,61,70,43,39,22,8,4,0,179,157,1,54,11,82,92,31,67,0,0,0,0,1,0,0,2,0,2,1,0,0,1,2,0,0,0,1,2,4,1,3,2,3,1,0,10,7,0,3,0,7,6,0,1
09/01/2021,533,5,29,99,144,106,71,52,37,12,12,0,297,234,2,116,25,134,135,24,99,0,0,0,0,0,0,0,5,0,2,3,0,1,0,3,1,0,0,1,4,5,4,4,4,2,5,0,15,14,0,4,0,16,8,0,1
03/09/2021,332,5,22,42,108,61,37,40,20,12,12,0,166,165,1,81,16,65,99,30,41,0,0,0,0,3,0,1,1,0,4,1,0,1,0,3,1,0,0,1,1,3,4,4,3,5,1,0,13,9,0,7,1,8,3,2,1
02/21/2021,157,9,22,16,42,31,27,22,10,5,4,0,86,71,0,29,3,34,63,8,20,0,1,0,1,0,1,3,3,0,4,5,0,3,0,1,3,2,0,1,5,3,2,4,1,4,2,0,11,11,0,2,1,10,6,1,2
08/13/2021,625,3,35,97,172,154,80,58,39,15,10,0,272,353,0,132,16,143,218,19,97,0,0,0,0,0,1,2,0,0,2,1,0,0,0,3,0,0,0,1,5,6,4,5,7,3,4,0,18,17,0,8,0,22,5,0,0
03/08/2021,327,5,23,53,103,61,35,32,31,8,4,0,165,162,0,107,24,68,79,22,27,0,0,0,0,2,1,2,0,0,2,3,0,3,0,2,0,0,0,0,2,2,1,4,8,3,3,0,14,9,0,5,0,11,5,2,0
04/12/2020,341,33,136,28,32,56,54,60,46,34,31,0,144,196,1,104,7,121,59,20,30,0,0,1,2,3,11,6,10,0,16,17,0,4,1,20,8,0,0,0,2,7,16,31,29,30,21,0,56,80,0,34,4,68,25,5,0
10/12/2020,682,4,37,69,180,119,123,91,59,31,10,0,323,355,4,244,26,108,202,33,69,0,0,0,1,1,0,2,0,0,2,2,0,3,0,1,0,0,0,0,3,3,7,7,7,7,3,0,15,22,0,9,2,12,11,0,3
12/09/2020,1756,28,113,194,432,332,293,220,178,75,32,0,941,809,6,718,67,357,350,61,203,0,1,0,1,2,9,8,7,0,11,17,0,9,1,9,9,0,0,4,9,2,11,20,23,23,21,0,56,57,0,28,5,50,22,7,1
08/01/2020,141,5,22,7,45,27,17,25,11,6,3,0,69,72,0,55,0,34,32,6,14,0,0,0,0,1,0,2,2,0,3,2,0,2,0,2,1,0,0,0,3,2,6,5,0,4,2,0,11,11,0,10,0,10,2,0,0
06/27/2020,130,5,13,11,41,21,23,14,10,7,3,0,64,66,0,45,4,36,28,5,12,0,0,0,0,0,1,2,2,0,4,1,0,1,0,3,1,0,0,1,4,0,2,1,3,0,2,0,8,5,0,8,0,4,1,0,0
11/03/2020,2144,13,108,262,556,450,350,265,153,65,43,0,1090,1050,4,876,74,292,576,91,235,0,0,0,0,2,5,4,2,0,2,11,0,4,0,4,5,0,0,3,10,12,11,17,23,13,19,0,52,56,0,45,5,36,19,1,2
08/27/2020,382,2,24,40,132,75,59,32,24,12,8,0,209,172,1,191,7,66,87,15,16,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,1,0,0,0,4,3,4,2,4,5,2,0,18,6,0,11,0,6,5,2,0
03/20/2020,155,0,52,2,23,22,32,30,27,15,4,0,72,83,0,21,6,78,41,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,12,16,11,1,0,19,33,0,8,1,35,7,1,0
10/15/2020,907,2,37,86,266,213,112,115,72,28,15,0,463,442,2,404,22,121,252,24,84,0,0,0,0,1,1,0,0,0,1,1,0,0,0,2,0,0,0,1,2,6,4,4,9,6,5,0,19,18,0,6,0,19,10,2,0
03/17/2021,484,9,28,47,165,105,70,49,35,9,4,0,242,242,0,102,29,104,178,20,51,0,0,1,1,0,2,1,4,0,4,5,0,1,0,5,3,0,0,0,5,3,4,5,5,3,3,0,15,13,0,7,1,17,3,0,0
04/05/2020,292,26,147,3,31,50,49,73,42,20,24,0,127,165,0,84,11,116,56,10,15,0,0,0,2,5,2,10,7,0,8,18,0,5,0,18,3,0,0,0,3,11,24,36,26,24,23,0,56,91,0,31,10,82,17,6,1
12/22/2020,1338,17,84,178,301,250,195,163,151,64,36,0,693,642,3,523,60,233,316,59,147,0,0,0,1,2,2,8,4,0,7,10,0,2,3,8,4,0,0,0,4,7,7,11,17,21,17,0,43,41,0,26,1,39,14,3,1
08/30/2021,596,5,43,135,123,128,88,61,32,22,7,0,314,282,0,156,12,143,134,32,119,0,0,0,1,1,1,0,2,0,3,2,0,2,0,3,0,0,0,1,5,4,10,5,5,8,5,0,22,21,0,11,0,21,7,2,2
08/20/2021,567,3,30,90,144,133,78,51,36,24,11,0,285,277,5,115,24,121,189,23,95,0,0,1,0,1,0,1,0,0,1,2,0,0,0,2,1,0,0,0,3,3,8,6,3,5,2,0,13,17,0,7,0,19,3,0,1
07/30/2021,355,2,18,52,111,68,48,48,15,10,3,0,164,191,0,73,6,91,120,11,54,0,0,0,0,0,0,2,0,0,1,1,0,0,0,2,0,0,0,0,3,1,1,4,5,1,3,0,6,12,0,3,2,8,5,0,0
06/08/2020,274,15,43,21,63,48,49,41,24,15,13,0,138,134,2,150,3,52,39,8,22,0,0,1,1,2,2,3,6,0,6,9,0,5,1,5,3,1,0,2,7,2,7,9,5,5,6,0,22,21,0,16,2,15,8,2,0
07/19/2021,204,1,17,35,65,51,24,21,4,3,1,0,97,105,2,39,4,43,70,13,35,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,3,4,0,3,3,1,2,0,13,4,0,3,0,6,7,0,1
11/19/2020,2169,17,119,250,526,458,358,278,187,83,29,0,1115,1047,7,889,60,354,490,87,289,0,0,0,0,0,7,5,5,0,7,10,0,3,1,5,7,1,0,4,4,10,17,20,21,26,17,0,56,63,0,37,5,40,30,5,2
12/04/2020,1856,32,104,240,409,341,306,272,158,85,45,0,938,911,7,709,71,344,423,73,236,0,0,1,1,4,4,7,15,0,14,18,0,16,1,6,9,0,0,4,6,15,12,19,20,16,12,0,49,55,0,32,4,45,16,5,2
08/24/2021,567,3,35,115,156,122,64,45,27,25,11,2,292,272,3,108,22,149,157,22,109,0,0,0,0,1,0,1,1,0,1,2,0,2,0,0,1,0,0,0,3,4,3,6,9,5,5,0,20,15,0,1,1,19,10,1,3
02/22/2021,390,8,28,53,90,84,57,55,32,11,8,0,199,191,0,154,14,69,107,11,35,0,0,0,2,2,1,2,1,0,4,4,0,4,0,4,0,0,0,0,1,2,4,4,9,1,7,0,11,17,0,10,0,11,7,0,0
03/18/2020,162,1,39,2,31,32,40,23,18,11,5,0,80,82,0,19,8,65,63,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2,5,8,10,9,5,0,13,26,0,5,3,24,7,0,0
06/10/2020,233,12,29,10,57,46,31,36,26,18,9,0,130,101,2,115,4,49,35,4,26,0,0,1,2,2,1,4,2,0,5,7,0,5,1,6,0,0,0,0,1,3,2,8,3,6,6,0,17,12,0,7,1,16,5,0,0
04/25/2021,275,11,50,40,70,71,28,36,21,8,1,0,141,134,0,60,12,114,50,14,25,0,0,0,2,3,3,3,0,0,4,7,0,3,0,7,1,0,0,3,5,11,4,10,10,5,2,0,31,19,0,10,1,24,7,3,5
09/01/2020,331,3,17,34,97,70,39,45,32,8,6,0,178,153,0,141,5,58,86,6,35,0,0,0,0,0,2,1,0,0,2,1,0,2,0,0,1,0,0,0,1,2,7,2,2,1,2,0,8,9,0,5,0,8,2,1,1
04/19/2020,459,35,158,7,66,60,66,75,75,50,60,0,206,253,0,154,19,179,61,19,27,0,0,0,3,7,7,5,13,0,11,24,0,13,2,13,5,2,0,1,13,7,16,37,30,30,24,0,69,89,0,58,6,65,22,7,0
10/26/2020,1541,8,78,193,404,303,257,180,117,66,21,0,783,756,2,606,53,283,389,46,164,0,0,0,0,0,0,2,6,0,4,4,0,4,0,0,4,0,0,0,5,5,5,18,16,18,11,0,32,46,0,27,2,23,22,2,2
02/17/2021,386,8,33,36,119,70,70,47,24,10,10,0,193,192,1,124,9,78,117,15,43,0,0,0,0,1,2,2,3,0,2,6,0,1,0,2,4,0,1,1,2,1,6,6,8,6,3,0,14,19,0,6,0,17,9,1,0
04/28/2021,574,5,49,85,145,130,95,68,28,13,10,0,304,269,1,164,27,200,101,19,63,0,0,0,1,2,0,1,1,0,1,4,0,0,2,2,1,0,0,2,4,7,8,8,8,4,8,0,18,31,0,7,1,27,9,3,2
08/06/2020,349,4,21,38,113,73,52,31,22,11,9,0,179,169,1,150,7,89,82,13,8,0,0,0,0,0,2,1,1,0,3,1,0,1,1,1,1,0,0,1,6,1,1,6,2,1,3,0,11,10,0,5,0,10,5,1,0
07/01/2020,266,13,22,17,98,51,32,27,25,6,10,0,155,111,0,95,2,71,73,3,22,0,0,0,3,2,2,2,4,0,5,8,0,6,0,4,3,0,0,1,1,0,4,5,4,3,4,0,11,11,0,5,1,11,4,0,1
04/11/2021,363,5,52,70,82,76,61,30,28,12,4,0,192,171,0,74,17,127,98,14,33,0,2,0,0,1,0,2,0,0,3,2,0,3,0,1,1,0,0,0,1,9,6,7,14,11,4,0,24,28,0,10,5,25,9,3,0
05/17/2021,347,6,48,58,84,74,44,39,33,8,7,0,197,150,0,70,12,154,51,15,45,0,0,0,0,0,1,3,2,0,2,4,0,3,0,3,0,0,0,2,7,5,7,9,8,5,5,0,20,28,0,6,0,38,1,0,3
12/20/2020,581,30,70,62,139,116,94,70,48,31,21,0,303,277,1,172,37,113,212,15,32,0,0,0,3,3,9,10,5,0,8,22,0,13,1,10,6,0,0,3,9,5,6,10,12,15,10,0,40,30,0,20,2,34,9,1,4
05/03/2021,553,6,62,88,113,124,74,85,44,20,5,0,313,240,0,139,19,228,86,18,63,0,0,0,0,0,2,1,3,0,2,4,0,1,0,2,3,0,0,2,3,7,11,14,14,7,4,0,27,35,0,9,0,41,7,2,3
03/16/2021,451,3,28,85,131,100,51,41,23,18,2,0,253,198,0,115,14,111,144,39,28,0,0,0,0,0,1,1,1,0,2,1,0,0,1,2,0,0,0,0,4,2,3,9,5,3,2,0,14,14,0,5,0,20,3,0,0
01/04/2021,1875,10,86,229,477,386,304,225,137,71,46,0,985,879,11,726,69,328,468,91,193,0,0,0,0,1,2,3,4,0,4,6,0,5,1,0,4,0,0,2,6,4,7,13,17,17,20,0,42,44,0,29,3,36,15,1,2
07/05/2021,58,2,6,11,15,14,7,5,3,2,1,0,26,31,1,14,1,14,15,4,10,0,0,0,0,0,1,0,1,0,2,0,0,2,0,0,0,0,0,1,1,1,0,1,1,1,0,0,3,3,0,2,0,3,1,0,0
03/15/2021,368,6,34,43,108,70,63,30,34,12,8,0,201,167,0,95,27,83,109,24,30,0,0,0,0,0,4,0,2,0,3,3,0,3,0,2,1,0,0,1,3,2,3,4,12,4,5,0,23,11,0,7,3,11,7,4,2
07/20/2020,394,5,25,53,95,90,55,47,36,14,4,0,198,191,5,177,10,96,76,11,24,0,0,1,1,0,2,1,0,0,2,3,0,3,0,1,1,0,0,1,2,3,3,3,7,5,1,0,17,8,0,9,0,14,2,0,0
08/25/2021,608,6,42,101,151,139,81,69,32,22,12,1,320,286,2,108,14,158,179,28,121,0,0,0,1,2,0,1,2,0,1,5,0,2,0,3,1,0,0,1,5,2,4,11,7,8,4,0,19,23,0,7,0,25,9,0,1
03/06/2020,3,0,2,0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0
08/01/2021,217,3,16,26,54,51,28,26,22,8,2,0,110,106,1,52,7,52,72,10,24,0,2,0,1,0,0,0,0,0,1,2,0,2,1,0,0,0,0,0,1,2,3,3,6,0,1,0,7,9,0,4,0,7,3,1,1
07/12/2020,97,4,15,7,33,15,19,11,3,7,2,0,52,45,0,31,4,27,21,2,12,0,0,0,0,0,2,0,2,0,2,2,0,0,0,1,3,0,0,1,3,0,1,2,2,5,1,0,6,9,0,3,3,8,1,0,0
05/10/2020,307,38,100,17,60,52,64,42,41,14,17,0,138,169,0,139,8,70,44,13,33,0,0,1,3,2,11,8,13,0,14,24,0,16,1,14,6,1,0,2,7,7,18,10,30,15,11,0,37,63,0,43,4,35,12,5,1
11/17/2020,2466,21,144,266,587,493,390,344,227,104,55,0,1274,1182,10,1007,79,436,554,100,290,0,0,0,0,4,10,3,4,0,7,14,0,10,1,6,4,0,0,3,7,11,13,21,39,34,16,0,65,79,0,47,6,60,24,4,3
04/23/2021,533,7,50,93,130,99,83,62,40,16,10,0,291,241,1,129,28,195,94,19,68,0,0,1,0,3,0,3,0,0,2,5,0,1,2,3,1,0,0,2,2,10,6,7,10,8,5,0,24,26,0,11,0,34,2,1,2
05/20/2020,771,29,94,58,210,132,138,107,72,36,18,0,405,361,5,392,6,175,82,22,94,0,1,1,1,6,10,4,6,0,7,22,0,15,3,7,4,0,0,3,8,4,8,14,22,20,15,0,48,46,0,35,1,41,11,3,3
10/07/2021,382,4,18,82,86,86,48,36,30,11,3,0,206,176,0,76,10,86,126,32,52,0,0,0,0,0,1,1,2,0,2,2,0,0,0,2,2,0,0,0,1,0,3,3,7,2,2,0,13,5,0,3,0,9,5,1,0
12/31/2020,973,22,71,89,251,200,142,119,79,56,37,0,490,479,4,275,38,140,355,47,118,0,0,0,0,2,3,11,6,0,10,12,0,9,0,8,5,0,0,2,1,5,6,12,17,12,16,0,33,38,0,12,2,35,18,4,0
04/21/2020,875,36,171,20,148,164,160,154,109,56,64,0,439,436,0,415,13,227,133,28,59,0,1,0,3,0,7,11,14,0,14,22,0,12,2,18,4,0,0,1,5,10,16,34,37,34,34,0,73,98,0,57,4,73,29,7,1
06/22/2020,218,9,32,23,60,34,38,26,19,15,3,0,113,105,0,111,3,45,33,5,21,0,1,0,0,2,3,1,2,0,5,4,0,7,0,1,1,0,0,1,4,6,3,6,5,4,3,0,15,17,0,15,0,14,3,0,0
04/25/2020,637,38,118,32,122,120,135,106,67,31,24,0,312,325,0,350,15,115,90,15,52,0,0,2,1,6,6,11,12,0,14,24,0,12,2,19,5,0,0,0,5,11,12,25,30,20,15,0,52,66,0,47,3,42,18,8,0
09/22/2020,351,2,27,43,108,70,52,36,20,12,10,0,175,173,3,161,9,49,98,5,29,0,0,0,0,1,0,0,1,0,2,0,0,1,0,1,0,0,0,0,4,2,2,5,8,4,2,0,12,15,0,14,0,7,6,0,0
07/29/2020,446,3,19,56,131,94,68,51,28,12,6,0,233,209,4,187,7,105,101,15,31,0,0,0,1,0,1,0,1,0,2,1,0,1,0,2,0,0,0,1,3,1,8,2,2,1,1,0,7,12,0,8,0,8,2,1,0
07/15/2020,268,7,23,30,84,51,33,34,18,12,6,0,150,118,0,98,5,85,47,10,23,0,0,0,0,2,2,1,2,0,3,4,0,1,0,6,0,0,0,0,5,2,2,3,4,4,3,0,13,10,0,8,0,9,5,1,0
07/13/2021,103,2,11,15,22,32,10,10,6,6,2,0,49,51,3,23,2,35,25,3,15,0,0,0,1,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,4,2,1,1,0,3,0,0,7,4,0,3,1,6,1,0,0
02/06/2021,263,13,28,29,53,57,37,43,26,11,7,0,137,126,0,69,19,64,85,8,18,0,0,0,1,0,3,4,5,0,2,11,0,2,0,6,5,0,0,1,0,2,5,6,7,3,4,0,19,9,0,7,0,14,4,3,0
03/25/2021,675,3,33,75,243,160,82,58,35,17,5,0,309,365,1,157,25,129,258,34,72,0,0,0,1,0,1,0,1,0,1,2,0,1,0,1,1,0,0,1,2,5,6,6,7,5,1,0,12,21,0,9,0,16,7,1,0
10/30/2021,282,2,16,58,60,64,30,31,21,12,6,0,142,139,1,45,12,68,75,33,49,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,2,2,3,3,3,2,0,11,5,0,3,0,9,3,1,0
07/17/2020,326,3,26,35,103,66,48,35,21,13,5,0,169,156,1,136,8,81,64,11,26,0,0,0,0,2,0,0,1,0,1,2,0,2,0,1,0,0,0,0,5,2,9,3,2,3,2,0,11,15,0,5,0,14,5,0,2
05/19/2020,889,27,100,78,211,170,148,130,85,39,28,0,450,434,5,486,16,165,89,25,108,0,1,1,3,6,5,6,5,0,8,19,0,11,2,11,3,0,0,5,5,13,15,20,17,14,11,0,52,48,0,46,2,34,13,2,3
04/16/2020,678,31,152,8,118,114,119,121,94,63,41,0,321,357,0,267,19,222,103,19,48,0,0,0,2,3,6,8,12,0,14,17,0,5,3,16,7,0,0,0,5,10,15,33,33,32,24,0,57,95,0,48,2,72,22,8,0
07/11/2021,69,2,7,18,13,15,8,11,1,3,0,0,34,35,0,9,3,14,23,3,17,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,2,0,1,3,0,0,1,0,0,4,3,0,0,0,5,1,1,0
